"Konto_Nr";"Konto_namn";"Konto_Typ";"K_beskrivning";"Gamla konto_Nr";"resultat";"balans"
5560;"LÄGER";"KOSTNADER";;5560;1;0
5810;"UTBILDN, INSTRUKT.MTRL, KONFER";"KOSTNADER";;5810;1;0
5820;"FUNKTIONÄRSHELG";"KOSTNADER";;5820;1;0
5890;"KOSTNADER MÖTEN, FESTER, SAMMANKOMSTER";"KOSTNADER";;5890;1;0
6010;"HYRA KLUBBLOKAL";"KOSTNADER";;6010;1;0
6015;"EL KLUBBLOKAL";"KOSTNADER";;6015;1;0
6020;"HYRA BAD ERIKSDAL, STHLM FRITID";"KOSTNADER";;6020;1;0
6030;"HYRA BAD VÅRBY, SÖDERTÖRNS SIMSÄLLSKAP";"KOSTNADER";;6030;1;0
6080;"REP. OCH UNDERHÅLL, KLUBBLOKAL";"KOSTNADER";;6080;1;0
6460;"MATERIAL, KANOTUTRUSTNING";"KOSTNADER";;6460;1;0
6510;"PORTO, KUVERT, ADMINISTRATION";"KOSTNADER";;6510;1;0
6550;"KLUBBTIDNING";"KOSTNADER";;6550;1;0
6560;"UTSKICK";"KOSTNADER";;6560;1;0
6810;"TELEFON";"KOSTNADER";;6810;1;0
6820;"INTERNET, WWW";"KOSTNADER";;6820;1;0
7010;"TRANSPORTER";"KOSTNADER";;7010;1;0
7230;"DEKALER, BROSCHYRER OCH SKYLTAR";"KOSTNADER";;7230;1;0
7240;"REKLAM";"KOSTNADER";;7230;1;0
7670;"KANOTNYTT";"KOSTNADER";;7670;1;0
7680;"FÖRENINGSAVGIFTER";"KOSTNADER";;7680;1;0
7690;"ÖVRIGA KOSTNADER";"KOSTNADER";;7690;1;0
8020;"RÄNTEINTÄKTER";"INTÄKTER";;8020;1;0
8710;"ENGÅNGSINTÄKTER";"EXTRAORDINÄRA INTÄKTER";;8710;1;0
8720;"ENGÅNGSKOSTNADER";"EXTRAORDINÄRA KOSTNADER";;8720;1;0
8810;"UPPLÖSNING LÄGERFOND";"KOSTNADER";;8810;1;0
8820;"UPPLÖSNING MATERIALFOND";"KOSTNADER";;8820;1;0
8830;"UPPLÖSNING REPARATIONSFOND";"KOSTNADER";;8830;1;0
8999;"ÅRETS RESULTAT";"KOSTNADER";;8999;1;0
